company,fiscal_year,type,revenue_cr,expenses_cr,operating_profit_cr,opm_pct,other_income_cr,depreciation_cr,interest_cr,net_profit_cr,eps,headcount
Infosys,FY15,annual,53319,40532,12787,24.0,2409,1396,0,12329,53.0,176187
Infosys,FY16,annual,62441,47467,14974,24.0,2578,1530,0,13818,59.0,194044
Infosys,FY17,annual,68484,52393,16091,23.5,2763,1644,0,14353,62.0,200364
Infosys,FY18,annual,73522,56348,17174,23.4,2903,1783,0,16029,69.0,204107
Infosys,FY19,annual,82675,63268,19407,23.5,3285,1888,0,15410,66.0,228123
Infosys,FY20,annual,90791,70019,20772,22.9,3608,2195,0,16639,39.0,228123
Infosys,FY21,annual,100472,75856,24616,24.5,2409,2310,0,19351,45.6,259619
Infosys,FY22,annual,121641,93664,27977,23.0,2578,2530,0,22110,52.5,314015
Infosys,FY23,annual,146767,115945,30822,21.0,2763,2800,0,24095,57.1,343234
Infosys,FY24,annual,153670,121990,31680,20.7,3100,2950,0,26248,63.0,317240
TCS,FY15,annual,105566,78200,27366,25.9,2100,1800,0,19978,101.0,319656
TCS,FY16,annual,108646,81200,27446,25.3,2300,1950,0,23721,120.0,362079
TCS,FY17,annual,117966,88700,29266,24.8,2500,2100,0,26289,133.0,387223
TCS,FY18,annual,123104,92800,30304,24.6,2700,2200,0,25826,131.0,394998
TCS,FY19,annual,146463,110200,36263,24.8,3100,2400,0,31472,160.0,424285
TCS,FY20,annual,156949,118500,38449,24.5,3300,2600,0,32340,86.0,448464
TCS,FY21,annual,164177,121491,42686,26.0,2800,2900,0,33388,90.2,488649
TCS,FY22,annual,191754,143816,47938,25.0,3100,3200,0,38327,103.6,556986
TCS,FY23,annual,225458,171073,54385,24.1,3400,3500,0,42147,114.0,614795
TCS,FY24,annual,240893,181874,59019,24.6,3700,3700,0,45908,124.6,601546
Wipro,FY15,annual,46598,37400,9198,19.7,2100,1800,500,8986,36.0,158217
Wipro,FY16,annual,51425,41300,10125,19.7,2300,1900,550,8971,36.0,170000
Wipro,FY17,annual,55448,44128,11320,20.4,2623,2310,594,8493,34.0,160000
Wipro,FY18,annual,54487,44100,10387,19.1,2550,2112,583,8003,33.0,160000
Wipro,FY19,annual,59019,47406,11613,19.7,2614,1947,738,9004,37.0,175000
Wipro,FY20,annual,61138,48795,12343,20.2,2728,2086,733,9722,43.0,190000
Wipro,FY21,annual,61935,47164,14771,23.9,2404,2763,509,10796,19.6,197712
Wipro,FY22,annual,79312,62628,16684,21.0,2067,3078,533,12230,22.1,236115
Wipro,FY23,annual,90488,73649,16839,18.6,2275,3340,1008,11350,20.6,258570
Wipro,FY24,annual,89760,73008,16752,18.7,2631,3407,1255,11045,21.1,234054
Infosys,Q1FY22,quarterly,27896,21500,6396,22.9,600,620,0,5195,12.3,
Infosys,Q2FY22,quarterly,29602,22800,6802,23.0,650,630,0,5421,12.9,
Infosys,Q3FY22,quarterly,30573,23500,7073,23.1,680,640,0,5809,13.8,
Infosys,Q4FY22,quarterly,33570,25864,7706,23.0,648,640,0,5686,13.5,
Infosys,Q1FY23,quarterly,34470,27200,7270,21.1,700,680,0,5360,12.7,
Infosys,Q2FY23,quarterly,36538,28900,7638,20.9,720,690,0,6021,14.3,
Infosys,Q3FY23,quarterly,37441,29600,7841,20.9,700,700,0,6586,15.6,
Infosys,Q4FY23,quarterly,37441,30245,7196,19.2,643,730,0,6128,14.5,
Infosys,Q1FY24,quarterly,37933,30100,7833,20.6,750,720,0,5945,14.1,
Infosys,Q2FY24,quarterly,38994,31000,7994,20.5,780,730,0,6215,14.7,
Infosys,Q3FY24,quarterly,38821,30800,8021,20.7,800,740,0,6106,14.5,
Infosys,Q4FY24,quarterly,37922,30090,7832,20.7,770,760,0,7982,19.7,
TCS,Q1FY22,quarterly,45411,34100,11311,24.9,750,780,0,9008,24.3,
TCS,Q2FY22,quarterly,46867,35200,11667,24.9,800,790,0,9624,26.0,
TCS,Q3FY22,quarterly,48885,36700,12185,24.9,820,800,0,9769,26.4,
TCS,Q4FY22,quarterly,50591,37816,12775,25.3,730,830,0,9926,26.8,
TCS,Q1FY23,quarterly,52758,40100,12658,24.0,850,840,0,9926,26.8,
TCS,Q2FY23,quarterly,55309,42100,13209,23.9,870,860,0,10431,28.2,
TCS,Q3FY23,quarterly,58229,44300,13929,23.9,880,870,0,10846,29.3,
TCS,Q4FY23,quarterly,59162,44573,14589,24.7,800,930,0,11392,30.8,
TCS,Q1FY24,quarterly,59381,44800,14581,24.5,900,900,0,11074,29.9,
TCS,Q2FY24,quarterly,59692,45100,14592,24.4,920,910,0,11342,30.7,
TCS,Q3FY24,quarterly,60583,45700,14883,24.6,940,930,0,11735,31.7,
TCS,Q4FY24,quarterly,61237,46274,14963,24.4,940,960,0,12434,33.6,
Wipro,Q1FY22,quarterly,17535,13900,3635,20.7,500,740,120,2972,5.4,
Wipro,Q2FY22,quarterly,19667,15600,4067,20.7,520,760,130,3222,5.8,
Wipro,Q3FY22,quarterly,20313,16100,4213,20.7,530,780,140,3053,5.5,
Wipro,Q4FY22,quarterly,21797,17028,4769,21.9,517,798,143,2983,5.4,
Wipro,Q1FY23,quarterly,21964,17800,4164,19.0,540,810,230,2563,4.6,
Wipro,Q2FY23,quarterly,23158,18800,4358,18.8,560,830,250,2659,4.8,
Wipro,Q3FY23,quarterly,23229,18900,4329,18.6,570,850,260,2674,4.8,
Wipro,Q4FY23,quarterly,22137,18149,3988,18.0,605,850,268,2454,4.4,
Wipro,Q1FY24,quarterly,22831,18627,4204,18.4,640,738,309,2888,5.2,
Wipro,Q2FY24,quarterly,22516,18546,3970,17.6,740,897,303,2667,4.8,
Wipro,Q3FY24,quarterly,22205,18007,4198,18.9,598,932,312,2701,4.9,
Wipro,Q4FY24,quarterly,22208,17828,4380,19.7,653,840,331,2858,5.1,
